Item,Net sales,Units sold
Neighborly Script Dad Cap,$344.00,11
Neighborly Varsity Dad Cap,$270.00,9
Neighborhood Cap - Westgate,$240.00,8
Have a Nice Day Tote Bag,$200.00,5
Neighborhood Cap - Brentwood Heights,$180.00,6
Yes Mom Trucker Hat,$170.00,7
Neighborhood Cap - Brentwood Park,$90.00,3
Neighborhood Cap - Mandeville Canyon,$60.00,2
NBRLY Blue Tote,$30.00,1
Neighborhood Cap - Brentwood Hills,$30.00,1
Neighborhood Cap - Kenter Canyon,$30.00,1
Neighborhood Cap - San Vicente,$30.00,1
Neighborhood Cap - The Flats,$30.00,1
Neighborhood Cap - The Riviera,$30.00,1
